Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,status
114.9625,26.6625,72.5625,-62.6375,-93.0375,25.5625,56.4625,37.9625,37.4625,2.6625,-4.6375,61.3625,115.0625,6.5625,-146.9375,-250.0375,1
114.35625,28.45625,74.05625,-58.34375,-103.54375,31.55625,58.35625,42.85625,39.35625,-2.44375,-2.14375,61.55625,92.75625,10.95625,-141.44375,-246.34375,1
114.3,28.2,75.1,-56.8,-126.4,31.3,61.8,48.4,41.9,-5.8,0.6,59.9,111.3,4.3,-136.8,-251.3,1
112.14375,27.34375,69.64375,-57.65625,-124.05625,34.34375,61.94375,46.44375,43.64375,-6.35625,0.54375,56.54375,123.54375,3.44375,-136.55625,-254.95625,1
110.625,29.425,64.725,-58.075,-90.975,32.725,48.725,42.525,42.325,-5.875,-1.375,55.725,115.925,5.725,-140.975,-251.175,1
111.4,34.8,61.2,-57.1,-105.3,25.6,47.8,43.1,43.2,1.4,-0.7,60.4,111.7,8.0,-141.5,-244.0,1
112.875,34.575,59.275,-58.025,-121.925,28.575,45.575,41.975,43.875,5.175,-1.025,62.075,116.275,19.375,-140.225,-248.425,1
110.7375,36.2375,56.5375,-57.3625,-112.2625,28.9375,36.4375,42.1375,40.2375,2.3375,-4.0625,63.7375,114.7375,24.8375,-141.4625,-241.7625,1
109.55625,39.95625,56.35625,-56.84375,-113.44375,28.55625,37.75625,41.65625,36.05625,0.45625,-7.54375,67.15625,110.05625,24.45625,-146.04375,-228.14375,1
113.325,43.925,60.625,-51.475,-130.075,35.925,46.525,47.025,39.225,-8.375,-5.875,65.825,95.325,30.725,-142.775,-239.875,1
109.8375,44.8375,58.8375,-52.3625,-123.6625,33.3375,42.0375,44.3375,36.4375,-2.8625,-9.9625,64.9375,108.5375,39.1375,-148.4625,-244.9625,1
108.6375,46.5375,60.1375,-49.8625,-117.7625,32.3375,41.1375,46.2375,32.0375,-3.7625,-13.2625,66.5375,111.4375,33.3375,-152.7625,-240.9625,1
109.225,45.825,63.225,-46.175,-135.675,35.825,48.925,49.525,31.925,-5.675,-14.375,67.025,109.625,30.925,-152.175,-237.975,1
109.03125,44.63125,67.33125,-43.26875,-139.76875,36.83125,55.73125,50.83125,34.33125,-4.16875,-15.46875,67.53125,88.13125,38.73125,-152.26875,-238.16875,1
108.66875,46.16875,69.46875,-40.63125,-141.13125,41.06875,54.46875,52.46875,29.96875,-0.63125,-17.73125,69.16875,79.56875,40.86875,-157.23125,-234.53125,1
105.39375,46.89375,66.99375,-39.80625,-100.30625,45.79375,37.09375,51.49375,22.89375,-9.00625,-24.00625,65.69375,92.69375,38.29375,-163.20625,-236.90625,1
